subject,region,population,population_code
HG00438,Han Chinese South,East Asian Ancestry,EAS
HG00621,Han Chinese South,East Asian Ancestry,EAS
HG00673,Han Chinese South,East Asian Ancestry,EAS
HG00733,Puerto Rican in Puerto Rico,American Ancestry,AMR
HG00735,Puerto Rican in Puerto Rico,American Ancestry,AMR
HG00741,Puerto Rican in Puerto Rico,American Ancestry,AMR
HG01071,Puerto Rican in Puerto Rico,American Ancestry,AMR
HG01106,Puerto Rican in Puerto Rico,American Ancestry,AMR
HG01109,Puerto Rican in Puerto Rico,American Ancestry,AMR
HG01123,Colombian in Medellin,American Ancestry,AMR
HG01175,Puerto Rican in Puerto Rico,American Ancestry,AMR
HG01243,Puerto Rican in Puerto Rico,American Ancestry,AMR
HG01258,Colombian in Medellin,American Ancestry,AMR
HG01358,Colombian in Medellin,American Ancestry,AMR
HG01361,Colombian in Medellin,American Ancestry,AMR
HG03492,Punjabi in Lahore,South Asian Ancestry,SAS
HG01928,Peruvian in Lima,American Ancestry,AMR
HG01952,Peruvian in Lima,American Ancestry,AMR
HG01978,Peruvian in Lima,American Ancestry,AMR
HG02055,African Caribbean in Barbados,African Ancestry,AFR
HG02080,Kinh in Ho Chi Minh City,East Asian Ancestry,EAS
HG02109,African Caribbean in Barbados,African Ancestry,AFR
HG02145,African Caribbean in Barbados,African Ancestry,AFR
HG02148,Peruvian in Lima,American Ancestry,AMR
HG02257,African Caribbean in Barbados,African Ancestry,AFR
HG02486,African Caribbean in Barbados,African Ancestry,AFR
HG02559,African Caribbean in Barbados,African Ancestry,AFR
HG02572,Gambian in Western Division,African Ancestry,AFR
HG02622,Gambian in Western Division,African Ancestry,AFR
HG02630,Gambian in Western Division,African Ancestry,AFR
HG02717,Gambian in Western Division,African Ancestry,AFR
HG02723,Gambian in Western Division,African Ancestry,AFR
HG02818,Gambian in Western Division,African Ancestry,AFR
HG02886,Gambian in Western Division,African Ancestry,AFR
HG03098,Mende in Sierra Leone,African Ancestry,AFR
HG03453,Mende in Sierra Leone,African Ancestry,AFR
HG03486,Mende in Sierra Leone,African Ancestry,AFR
HG01891,African Caribbean in Barbados,African Ancestry,AFR
HG03516,Esan in Nigeria,African Ancestry,AFR
HG03540,Gambian in Western Division,African Ancestry,AFR
HG03579,Mende in Sierra Leone,African Ancestry,AFR
NA18906,"Yoruban In Ibadan, Nigeria",African Ancestry,AFR
NA20129,African Ancestry in Southwest US,African Ancestry,AFR
NA21309,Kinyawa,African Ancestry,AFR
