bin,R2_mean,dist
,0.05781409261273849,0.0
"[0.0, 0.01)",0.06962225806461332,0.01
"[0.01, 0.02)",0.06029004915230345,0.02
"[0.02, 0.03)",0.053366176283176345,0.03
"[0.03, 0.04)",0.052418038240497164,0.04
"[0.04, 0.05)",0.05349417586971047,0.05
"[0.05, 0.06)",0.05556437059423461,0.06
"[0.06, 0.07)",0.04724095577195929,0.07
"[0.07, 0.08)",0.04556929675076871,0.08
"[0.08, 0.09)",0.04274589387920988,0.09
"[0.09, 0.1)",0.04382928015444153,0.1
"[0.1, 0.11)",0.044866821288598195,0.11
"[0.11, 0.12)",0.04256529997429869,0.12
"[0.12, 0.13)",0.043200863609118935,0.13
"[0.13, 0.14)",0.038523079251486854,0.14
"[0.14, 0.15)",0.03853184073279724,0.15
"[0.15, 0.16)",0.036137113004148194,0.16
"[0.16, 0.17)",0.03665277504290347,0.17
"[0.17, 0.18)",0.03968526492850287,0.18
"[0.18, 0.19)",0.03577148010521386,0.19
"[0.19, 0.2)",0.03404431145654137,0.2
"[0.2, 0.21)",0.03293844396645526,0.21
"[0.21, 0.22)",0.03745879498010598,0.22
"[0.22, 0.23)",0.034953155721664776,0.23
"[0.23, 0.24)",0.03582016931194697,0.24
"[0.24, 0.25)",0.033414176567464184,0.25
"[0.25, 0.26)",0.034013776710620065,0.26
"[0.26, 0.27)",0.03589135594836472,0.27
"[0.27, 0.28)",0.0349631277950625,0.28
"[0.28, 0.29)",0.03519247982321881,0.29
"[0.29, 0.3)",0.03429889655678785,0.3
"[0.3, 0.31)",0.03243610181233198,0.31
"[0.31, 0.32)",0.033668731499054395,0.32
"[0.32, 0.33)",0.030737788944628777,0.33
"[0.33, 0.34)",0.032762120730862036,0.34
"[0.34, 0.35000000000000003)",0.033788342880317755,0.35000000000000003
"[0.35000000000000003, 0.36)",0.03198567990408246,0.36
"[0.36, 0.37)",0.033730073417924125,0.37
"[0.37, 0.38)",0.03147941004066619,0.38
"[0.38, 0.39)",0.03510652879294949,0.39
"[0.39, 0.4)",0.031380746096374215,0.4
"[0.4, 0.41000000000000003)",0.03244130955801153,0.41000000000000003
"[0.41000000000000003, 0.42)",0.03065399292725029,0.42
"[0.42, 0.43)",0.03346530199259859,0.43
"[0.43, 0.44)",0.03369491522906778,0.44
"[0.44, 0.45)",0.03090460266173605,0.45
"[0.45, 0.46)",0.030455625202255848,0.46
"[0.46, 0.47000000000000003)",0.03219112013212058,0.47000000000000003
"[0.47000000000000003, 0.48)",0.0315685770771372,0.48
"[0.48, 0.49)",0.034221508555055985,0.49
"[0.49, 0.5)",0.03343705184011237,0.5
"[0.5, 0.51)",0.031136771583508534,0.51
"[0.51, 0.52)",0.03306017192453806,0.52
"[0.52, 0.53)",0.03292326590443058,0.53
"[0.53, 0.54)",0.031561141782426354,0.54
"[0.54, 0.55)",0.03411001420770038,0.55
"[0.55, 0.56)",0.03231886660092269,0.56
"[0.56, 0.5700000000000001)",0.03277449418107911,0.5700000000000001
"[0.5700000000000001, 0.58)",0.03267859751170569,0.58
"[0.58, 0.59)",0.031657383080661204,0.59
"[0.59, 0.6)",0.03059154235282661,0.6
"[0.6, 0.61)",0.03192920832115181,0.61
"[0.61, 0.62)",0.03152829649818356,0.62
"[0.62, 0.63)",0.03388991772072551,0.63
"[0.63, 0.64)",0.03179990140201615,0.64
"[0.64, 0.65)",0.03490303373462679,0.65
"[0.65, 0.66)",0.03233812113897679,0.66
"[0.66, 0.67)",0.03316510228352235,0.67
"[0.67, 0.68)",0.033033852769965476,0.68
"[0.68, 0.6900000000000001)",0.03219570984744549,0.6900000000000001
"[0.6900000000000001, 0.7000000000000001)",0.033539152689462025,0.7000000000000001
"[0.7000000000000001, 0.71)",0.03187173811253752,0.71
"[0.71, 0.72)",0.031100978120282632,0.72
"[0.72, 0.73)",0.02987405268896677,0.73
"[0.73, 0.74)",0.03436312880691301,0.74
"[0.74, 0.75)",0.0334162857767214,0.75
"[0.75, 0.76)",0.031219499101491757,0.76
"[0.76, 0.77)",0.030018214451038378,0.77
"[0.77, 0.78)",0.031686421824246164,0.78
"[0.78, 0.79)",0.032385015675408475,0.79
"[0.79, 0.8)",0.03062506572846919,0.8
"[0.8, 0.81)",0.03245679668325274,0.81
"[0.81, 0.8200000000000001)",0.029700039238391,0.8200000000000001
"[0.8200000000000001, 0.8300000000000001)",0.03092560454974815,0.8300000000000001
"[0.8300000000000001, 0.84)",0.03389007311567569,0.84
"[0.84, 0.85)",0.03258990196328991,0.85
"[0.85, 0.86)",0.032912963403809586,0.86
"[0.86, 0.87)",0.030286936615524895,0.87
"[0.87, 0.88)",0.03286152218463966,0.88
"[0.88, 0.89)",0.03260162012759168,0.89
"[0.89, 0.9)",0.03221764098864359,0.9
"[0.9, 0.91)",0.030292069666156336,0.91
"[0.91, 0.92)",0.031671710345912096,0.92
"[0.92, 0.93)",0.032562104452963835,0.93
"[0.93, 0.9400000000000001)",0.032283141986644344,0.9400000000000001
"[0.9400000000000001, 0.9500000000000001)",0.03295903710452153,0.9500000000000001
"[0.9500000000000001, 0.96)",0.03239809746586039,0.96
"[0.96, 0.97)",0.03230378336361713,0.97
"[0.97, 0.98)",0.03284896578096766,0.98
"[0.98, 0.99)",0.03478474738966302,0.99
"[0.99, 1.0)",0.0346072811401549,1.0
"[1.0, 1.01)",0.032190066120428365,1.01
"[1.01, 1.02)",0.03117471173729144,1.02
"[1.02, 1.03)",0.030311796258616963,1.03
"[1.03, 1.04)",0.02869564378585023,1.04
"[1.04, 1.05)",0.030135807267748903,1.05
"[1.05, 1.06)",0.02877411648359024,1.06
"[1.06, 1.07)",0.029464201987001306,1.07
"[1.07, 1.08)",0.03038409610216074,1.08
"[1.08, 1.09)",0.02912299060933549,1.09
"[1.09, 1.1)",0.028353342911050933,1.1
"[1.1, 1.11)",0.03097437163374755,1.11
"[1.11, 1.12)",0.029603069228972902,1.12
"[1.12, 1.1300000000000001)",0.03160411508620671,1.1300000000000001
"[1.1300000000000001, 1.1400000000000001)",0.029009645489362947,1.1400000000000001
"[1.1400000000000001, 1.1500000000000001)",0.029869068942429494,1.1500000000000001
"[1.1500000000000001, 1.16)",0.031016392837882066,1.16
"[1.16, 1.17)",0.031612401666957744,1.17
"[1.17, 1.18)",0.03300479608547595,1.18
"[1.18, 1.19)",0.032649435641571675,1.19
"[1.19, 1.2)",0.03187302891469714,1.2
"[1.2, 1.21)",0.032128922619417404,1.21
"[1.21, 1.22)",0.03407809989103356,1.22
"[1.22, 1.23)",0.032033210461832926,1.23
"[1.23, 1.24)",0.03377243976917572,1.24
"[1.24, 1.25)",0.03120939908787106,1.25
"[1.25, 1.26)",0.03233356678610246,1.26
"[1.26, 1.27)",0.03188357198271864,1.27
"[1.27, 1.28)",0.03414032575834372,1.28
"[1.28, 1.29)",0.03154530020979681,1.29
"[1.29, 1.3)",0.030385304068192634,1.3
"[1.3, 1.31)",0.02934357366656612,1.31
"[1.31, 1.32)",0.0295166818314761,1.32
"[1.32, 1.33)",0.02911045018182625,1.33
"[1.33, 1.34)",0.030981058630431782,1.34
"[1.34, 1.35)",0.026300434388516005,1.35
"[1.35, 1.36)",0.03146771424722143,1.36
"[1.36, 1.37)",0.030679735415863853,1.37
"[1.37, 1.3800000000000001)",0.03196961389811176,1.3800000000000001
"[1.3800000000000001, 1.3900000000000001)",0.027567637491625437,1.3900000000000001
"[1.3900000000000001, 1.4000000000000001)",0.030665170589414058,1.4000000000000001
"[1.4000000000000001, 1.41)",0.02887274122691446,1.41
"[1.41, 1.42)",0.03026071876058971,1.42
"[1.42, 1.43)",0.031191503826839558,1.43
"[1.43, 1.44)",0.03198976253321045,1.44
"[1.44, 1.45)",0.030289539250019423,1.45
"[1.45, 1.46)",0.03277812867949261,1.46
"[1.46, 1.47)",0.031800981022235046,1.47
