JobID,JobName,TotalCPU,MaxRSS,Elapsed
6417541,remove_X,42:22.868,14494852K,00:42:57
6417542,remove_chm13,39:37.660,17401524K,00:44:21
6417543_1,split_chr,05:16.379,2949504K,00:05:19
6417543_10,split_chr,05:01.583,4723128K,00:05:04
6417543_11,split_chr,02:34.310,1712432K,00:02:36
6417543_12,split_chr,02:33.691,1521848K,00:02:35
6417543_13,split_chr,01:41.034,469828K,00:01:42
6417543_14,split_chr,02:05.694,1266952K,00:02:07
6417543_15,split_chr,04:29.574,3107296K,00:04:32
6417543_16,split_chr,04:17.939,3142964K,00:04:20
6417543_17,split_chr,02:40.274,1980164K,00:02:42
6417543_18,split_chr,01:10.840,378296K,00:01:12
6417543_19,split_chr,02:09.690,2211924K,00:02:11
6417543_2,split_chr,05:00.895,1067684K,00:05:04
6417543_20,split_chr,01:42.827,1665036K,00:01:44
6417543_21,split_chr,00:46.941,280892K,00:00:48
6417543_22,split_chr,01:50.732,1556596K,00:01:52
6417543_3,split_chr,03:20.727,1080424K,00:03:23
6417543_4,split_chr,03:42.738,1345440K,00:03:45
6417543_5,split_chr,06:19.324,5384208K,00:06:23
6417543_6,split_chr,03:02.471,813964K,00:03:05
6417543_7,split_chr,05:34.142,2927348K,00:05:38
6417543_8,split_chr,04:07.727,2554988K,00:04:10
6417543_9,split_chr,04:44.517,5997712K,00:04:47
6421366_1,get_num_alleles,00:11.020,353320K,00:00:12
6421366_10,get_num_alleles,00:10.446,442736K,00:00:11
6421366_11,get_num_alleles,00:05.277,155868K,00:00:05
6421366_12,get_num_alleles,00:05.134,153716K,00:00:05
6421366_13,get_num_alleles,00:02.823,82768K,00:00:03
6421366_14,get_num_alleles,00:04.166,160224K,00:00:04
6421366_15,get_num_alleles,00:09.446,441468K,00:00:10
6421366_16,get_num_alleles,00:09.729,427184K,00:00:10
6421366_17,get_num_alleles,00:05.914,239960K,00:00:06
6421366_18,get_num_alleles,00:02.001,50180K,00:00:02
6421366_19,get_num_alleles,00:05.707,191360K,00:00:06
6421366_2,get_num_alleles,00:08.425,286216K,00:00:09
6421366_20,get_num_alleles,00:04.179,144936K,00:00:04
6421366_21,get_num_alleles,00:01.432,46352K,00:00:01
6421366_22,get_num_alleles,00:03.790,168660K,00:00:04
6421366_3,get_num_alleles,00:05.693,152680K,00:00:06
6421366_4,get_num_alleles,00:06.903,203900K,00:00:07
6421366_5,get_num_alleles,00:12.365,498436K,00:00:13
6421366_6,get_num_alleles,00:04.487,119748K,00:00:05
6421366_7,get_num_alleles,00:12.082,449956K,00:00:12
6421366_8,get_num_alleles,00:09.231,335848K,00:00:09
6421366_9,get_num_alleles,00:11.465,442576K,00:00:12
6421415_1,get_blocks,06:03.836,9536740K,00:06:09
6421415_10,get_blocks,04:07.836,5915444K,00:04:11
6421415_11,get_blocks,04:06.850,5987520K,00:04:10
6421415_12,get_blocks,03:51.817,5727572K,00:03:55
6421415_13,get_blocks,02:52.487,4243548K,00:02:55
6421415_14,get_blocks,02:37.988,3932024K,00:02:40
6421415_15,get_blocks,02:18.123,3586416K,00:02:20
6421415_16,get_blocks,02:26.577,3975852K,00:02:28
6421415_17,get_blocks,02:03.676,3440608K,00:02:04
6421415_18,get_blocks,02:06.797,3363112K,00:02:08
6421415_19,get_blocks,01:48.851,2727892K,00:01:50
6421415_2,get_blocks,06:36.188,10423340K,00:06:41
6421415_20,get_blocks,01:32.788,2684060K,00:01:34
6421415_21,get_blocks,01:02.912,1656600K,00:01:04
6421415_22,get_blocks,01:01.775,1649776K,00:01:02
6421415_3,get_blocks,05:53.117,8610156K,00:05:57
6421415_4,get_blocks,06:00.092,8529140K,00:06:05
6421415_5,get_blocks,05:03.905,7760632K,00:05:07
6421415_6,get_blocks,06:38.419,7501700K,00:06:42
6421415_7,get_blocks,04:40.619,6973524K,00:04:43
6421415_8,get_blocks,04:32.674,6772228K,00:04:36
6421415_9,get_blocks,03:32.944,5256152K,00:03:36
6421416_1,convert_2_npy,03:43:58,82194524K,03:45:15
6421416_10,convert_2_npy,01:09:38,42760536K,01:09:59
6421416_11,convert_2_npy,01:10:28,63542956K,01:10:50
6421416_12,convert_2_npy,01:07:36,41111924K,01:07:56
6421416_13,convert_2_npy,50:03.008,30958728K,00:50:19
6421416_14,convert_2_npy,45:54.821,43337636K,00:46:09
6421416_15,convert_2_npy,42:25.728,41361716K,00:42:40
6421416_16,convert_2_npy,46:45.081,53345660K,00:47:01
6421416_17,convert_2_npy,40:35.348,23215232K,00:40:47
6421416_18,convert_2_npy,38:58.723,32863240K,00:39:10
6421416_19,convert_2_npy,32:19.754,36219040K,00:32:31
6421416_2,convert_2_npy,03:58:02,82195000K,03:59:09
6421416_20,convert_2_npy,31:27.323,26798220K,00:31:37
6421416_21,convert_2_npy,19:32.291,11072528K,00:19:39
6421416_22,convert_2_npy,19:22.620,11581916K,00:19:29
6421416_3,convert_2_npy,03:33:29,82196148K,03:34:27
6421416_4,convert_2_npy,03:32:54,82196696K,03:33:52
6421416_5,convert_2_npy,03:23:31,73530736K,03:24:24
6421416_6,convert_2_npy,03:18:03,82144992K,03:18:55
6421416_7,convert_2_npy,03:06:08,82196056K,03:06:57
6421416_8,convert_2_npy,01:19:47,77938884K,01:20:11
6421416_9,convert_2_npy,01:02:40,41551144K,01:02:59
6421417_1,get_mappings,06:33.134,5090552K,00:06:36
6421417_10,get_mappings,04:03.209,3927340K,00:04:05
6421417_11,get_mappings,03:57.084,2429788K,00:03:59
6421417_12,get_mappings,03:43.626,2425532K,00:03:45
6421417_13,get_mappings,02:43.116,1628232K,00:02:44
6421417_14,get_mappings,02:32.315,1930528K,00:02:33
6421417_15,get_mappings,02:26.244,2746324K,00:02:27
6421417_16,get_mappings,02:39.729,2909480K,00:02:41
6421417_17,get_mappings,02:16.511,1902416K,00:02:17
6421417_18,get_mappings,02:08.378,1206916K,00:02:09
6421417_19,get_mappings,01:50.711,1695752K,00:01:51
6421417_2,get_mappings,06:58.763,4857892K,00:07:02
6421417_20,get_mappings,01:45.713,1382000K,00:01:46
6421417_21,get_mappings,01:03.780,749324K,00:01:04
6421417_22,get_mappings,01:07.847,1194492K,00:01:08
6421417_3,get_mappings,05:35.813,3683260K,00:05:38
6421417_4,get_mappings,05:35.510,3741780K,00:05:38
6421417_5,get_mappings,05:13.287,4446352K,00:05:15
6421417_6,get_mappings,04:55.638,2553916K,00:04:58
6421417_7,get_mappings,04:53.255,3737440K,00:04:55
6421417_8,get_mappings,04:33.180,3385068K,00:04:35
6421417_9,get_mappings,03:44.408,3718952K,00:03:46
6424473_1,seg_blocks,02:38.896,390720K,00:02:43
6424473_10,seg_blocks,06:09.276,258316K,00:06:12
6424473_11,seg_blocks,05:41.032,237144K,00:05:44
6424473_12,seg_blocks,05:39.823,238808K,00:05:43
6424473_13,seg_blocks,00:51.507,132484K,00:00:52
6424473_14,seg_blocks,00:44.057,164584K,00:00:45
6424473_15,seg_blocks,00:46.024,169092K,00:00:47
6424473_16,seg_blocks,00:52.090,157236K,00:00:53
6424473_17,seg_blocks,00:47.738,149300K,00:00:49
6424473_18,seg_blocks,00:32.876,165408K,00:00:34
6424473_19,seg_blocks,00:20.439,42492K,00:00:21
6424473_2,seg_blocks,04:31.804,404776K,00:04:34
6424473_20,seg_blocks,00:18.584,39208K,00:00:19
6424473_21,seg_blocks,00:09.726,27068K,00:00:10
6424473_22,seg_blocks,00:10.116,27556K,00:00:11
6424473_3,seg_blocks,02:54.627,294816K,00:02:56
6424473_4,seg_blocks,03:10.085,294784K,00:03:12
6424473_5,seg_blocks,07:00.389,302824K,00:07:04
6424473_6,seg_blocks,06:58.177,494440K,00:07:02
6424473_7,seg_blocks,06:58.070,527528K,00:07:02
6424473_8,seg_blocks,06:37.607,276124K,00:06:41
6424473_9,seg_blocks,06:30.084,362248K,00:06:33
6425470_1,get_af,08:11.587,118250492K,00:08:15
6425470_10,get_af,05:37.384,79998328K,00:05:40
6425470_11,get_af,05:56.780,47571144K,00:05:59
6425470_12,get_af,05:30.475,44256312K,00:05:32
6425470_13,get_af,04:07.681,30191168K,00:04:09
6425470_14,get_af,03:45.089,28745112K,00:03:47
6425470_15,get_af,03:28.819,29151384K,00:03:30
6425470_16,get_af,03:39.127,31662964K,00:03:41
6425470_17,get_af,03:16.528,25035464K,00:03:18
6425470_18,get_af,03:36.360,24366672K,00:03:38
6425470_19,get_af,02:52.087,19533448K,00:02:53
6425470_2,get_af,09:21.753,133385884K,00:09:24
6425470_20,get_af,02:29.490,26276524K,00:02:31
6425470_21,get_af,01:30.710,14072272K,00:01:32
6425470_22,get_af,01:31.851,14882628K,00:01:33
6425470_3,get_af,09:45.051,113184504K,00:09:59
6425470_4,get_af,27:57.139,78774196K,00:28:09
6425470_5,get_af,27:56.746,68329312K,00:28:08
6425470_6,get_af,27:53.930,70772916K,00:28:05
6425470_7,get_af,06:51.914,99402688K,00:06:54
6425470_8,get_af,06:18.694,70386348K,00:06:21
6425470_9,get_af,07:56.232,66321212K,00:07:59
